policy_name,adaptation_policy,policy_k,policy_n,cooldown_windows,method,n_seeds,mean_balanced_accuracy,std_balanced_accuracy,cumulative_error_area_mean,cumulative_error_area_std,mean_gain_vs_no_adapt,cumulative_gain_vs_no_adapt_mean,n_adaptations_mean,false_adaptations_mean,first_adaptation_window_mean,alarm_rate_mean,trigger_rate_mean,detector_runtime_sec_total_mean,fit_runtime_sec_total_mean,regime,regime_label,policy_dir,summary_path,policy_rank,method_rank,legacy_ba,legacy_gain,legacy_adaptations,legacy_error_area,legacy_trigger_rate,delta_ba_vs_legacy,delta_gain_vs_legacy,adaptation_reduction_vs_legacy,trigger_reduction_vs_legacy,gain_retention_vs_legacy,harm_avoided_vs_legacy,criterion_C_pass
k2_of_3_cooldown0,k_of_n,2,3,0,ks_max,10,0.8444843750000001,0.0076520148433725,15.5515625,0.765201484337259,-0.0015390625,-0.15390625,3.9,0.1,21.1,0.144,0.039,0.2373163301730528,0.0356299200095236,unsw_nb15_reconnaissance,UNSW-NB15 Reconnaissance,k2_of_3_cooldown0,results\raw\paper2_safe_readaptation_phase1_001\unsw_nb15_reconnaissance\k2_of_3_cooldown0\paper2_progressive_readaptation_summary.csv,1,1,0.8469218749999999,0.08984375,2.5,15.3078125,0.025,-0.0024374999999998,-0.24375,-1.4,-0.0139999999999999,-1.7130434782608694,,False
k2_of_3_cooldown0,k_of_n,2,3,0,qk_mmd_zz,10,0.8461796874999999,0.0043358319243903,15.38203125,0.4335831924390348,0.00015625,0.015625,3.9,0.1,20.8,0.132,0.039,6.797079200297594,0.0395511999493464,unsw_nb15_reconnaissance,UNSW-NB15 Reconnaissance,k2_of_3_cooldown0,results\raw\paper2_safe_readaptation_phase1_001\unsw_nb15_reconnaissance\k2_of_3_cooldown0\paper2_progressive_readaptation_summary.csv,1,2,0.8494609375,0.34375,2.7,15.05390625,0.027,-0.00328125,-0.328125,-1.1999999999999995,-0.012,0.0454545454545454,,False
k3_of_5_cooldown0,k_of_n,3,5,0,ks_max,10,0.8452890625,0.0067705378541295,15.47109375,0.6770537854129565,-0.000734375,-0.0734375,3.2,0.0,29.9,0.186,0.032,0.2373810299672186,0.0305331000126898,unsw_nb15_reconnaissance,UNSW-NB15 Reconnaissance,k3_of_5_cooldown0,results\raw\paper2_safe_readaptation_phase1_001\unsw_nb15_reconnaissance\k3_of_5_cooldown0\paper2_progressive_readaptation_summary.csv,2,1,0.8469218749999999,0.08984375,2.5,15.3078125,0.025,-0.0016328124999999,-0.16328125,-0.7000000000000002,-0.0069999999999999,-0.8173913043478261,,True
k3_of_5_cooldown0,k_of_n,3,5,0,qk_mmd_zz,10,0.8493046874999999,0.0050620672933217,15.06953125,0.5062067293321779,0.00328125,0.328125,3.1,0.0,29.7,0.177,0.031,6.691873709717766,0.0314839199651032,unsw_nb15_reconnaissance,UNSW-NB15 Reconnaissance,k3_of_5_cooldown0,results\raw\paper2_safe_readaptation_phase1_001\unsw_nb15_reconnaissance\k3_of_5_cooldown0\paper2_progressive_readaptation_summary.csv,2,2,0.8494609375,0.34375,2.7,15.05390625,0.027,-0.00015625,-0.015625,-0.3999999999999999,-0.004,0.9545454545454546,,True
k2_of_3_cooldown3,k_of_n,2,3,3,ks_max,10,0.8444843750000001,0.0076520148433725,15.5515625,0.765201484337259,-0.0015390625,-0.15390625,3.9,0.1,21.1,0.144,0.039,0.2377722300821915,0.0359073200961574,unsw_nb15_reconnaissance,UNSW-NB15 Reconnaissance,k2_of_3_cooldown3,results\raw\paper2_safe_readaptation_phase1_001\unsw_nb15_reconnaissance\k2_of_3_cooldown3\paper2_progressive_readaptation_summary.csv,3,1,0.8469218749999999,0.08984375,2.5,15.3078125,0.025,-0.0024374999999998,-0.24375,-1.4,-0.0139999999999999,-1.7130434782608694,,False
k2_of_3_cooldown3,k_of_n,2,3,3,qk_mmd_zz,10,0.8461796874999999,0.0043358319243903,15.38203125,0.4335831924390348,0.00015625,0.015625,3.9,0.1,20.8,0.132,0.039,7.237871139845811,0.0385241099866107,unsw_nb15_reconnaissance,UNSW-NB15 Reconnaissance,k2_of_3_cooldown3,results\raw\paper2_safe_readaptation_phase1_001\unsw_nb15_reconnaissance\k2_of_3_cooldown3\paper2_progressive_readaptation_summary.csv,3,2,0.8494609375,0.34375,2.7,15.05390625,0.027,-0.00328125,-0.328125,-1.1999999999999995,-0.012,0.0454545454545454,,False
k3_of_5_cooldown5,k_of_n,3,5,5,ks_max,10,0.8452890625,0.0067705378541295,15.47109375,0.6770537854129565,-0.000734375,-0.0734375,3.2,0.0,29.9,0.186,0.032,0.2409734100569039,0.0301642498932778,unsw_nb15_reconnaissance,UNSW-NB15 Reconnaissance,k3_of_5_cooldown5,results\raw\paper2_safe_readaptation_phase1_001\unsw_nb15_reconnaissance\k3_of_5_cooldown5\paper2_progressive_readaptation_summary.csv,4,1,0.8469218749999999,0.08984375,2.5,15.3078125,0.025,-0.0016328124999999,-0.16328125,-0.7000000000000002,-0.0069999999999999,-0.8173913043478261,,True
k3_of_5_cooldown5,k_of_n,3,5,5,qk_mmd_zz,10,0.8493046874999999,0.0050620672933217,15.06953125,0.5062067293321779,0.00328125,0.328125,3.1,0.0,29.7,0.177,0.031,7.035880639543757,0.0307160799857229,unsw_nb15_reconnaissance,UNSW-NB15 Reconnaissance,k3_of_5_cooldown5,results\raw\paper2_safe_readaptation_phase1_001\unsw_nb15_reconnaissance\k3_of_5_cooldown5\paper2_progressive_readaptation_summary.csv,4,2,0.8494609375,0.34375,2.7,15.05390625,0.027,-0.00015625,-0.015625,-0.3999999999999999,-0.004,0.9545454545454546,,True
